"Index" "YHOO.Adjusted"
2007-06-26 27.709999
2007-06-27 27.58
2007-06-28 27.25
2007-06-29 27.129999
2007-07-02 26.860001
2007-07-03 27
2007-07-05 26.99
2007-07-06 27.1
2007-07-09 27.200001
2007-07-10 26.969999
2007-07-11 26.690001
2007-07-12 26.959999
2007-07-13 26.58
2007-07-16 26.700001
2007-07-17 27.530001
2007-07-18 26.200001
2007-07-19 26.030001
2007-07-20 25.35
2007-07-23 24.99
2007-07-24 24.84
2007-07-25 24.68
2007-07-26 24.030001
2007-07-27 23.49
2007-07-30 23.620001
2007-07-31 23.25
2007-08-01 23.25
2007-08-02 23.360001
2007-08-03 22.92
2007-08-06 22.969999
2007-08-07 23.440001
2007-08-08 23.870001
2007-08-09 23.799999
2007-08-10 23.940001
2007-08-13 24.57
2007-08-14 23.719999
2007-08-15 23.32
2007-08-16 22.76
2007-08-17 23.540001
2007-08-20 23.34
2007-08-21 23.040001
2007-08-22 23.23
2007-08-23 23.129999
2007-08-24 23.59
2007-08-27 23.030001
2007-08-28 22.52
2007-08-29 22.549999
2007-08-30 22.610001
2007-08-31 22.73
2007-09-04 23.969999
2007-09-05 24.1
2007-09-06 24.15
2007-09-07 23.76
2007-09-10 23.299999
2007-09-11 23.709999
2007-09-12 23.559999
2007-09-13 23.719999
2007-09-14 24.73
2007-09-17 24.950001
2007-09-18 25.059999
2007-09-19 25.290001
2007-09-20 25.290001
2007-09-21 26.049999
2007-09-24 25.73
2007-09-25 26.51
2007-09-26 26.700001
2007-09-27 26.27
2007-09-28 26.84
2007-10-01 27.040001
2007-10-02 26.950001
2007-10-03 27.17
2007-10-04 27.15
2007-10-05 27.879999
2007-10-08 28.049999
2007-10-09 28.370001
2007-10-10 28.360001
2007-10-11 27.65
2007-10-12 28.48
2007-10-15 27.860001
2007-10-16 26.690001
2007-10-17 28.82
2007-10-18 29.35
2007-10-19 29.030001
2007-10-22 29.85
2007-10-23 30.639999
2007-10-24 30.68
2007-10-25 31.34
2007-10-26 33.630001
2007-10-29 31.790001
2007-10-30 30.83
2007-10-31 31.1
2007-11-01 30.219999
2007-11-02 31.110001
2007-11-05 31.360001
2007-11-06 29.93
2007-11-07 27.629999
2007-11-08 26.700001
2007-11-09 25.790001
2007-11-12 24.780001
2007-11-13 26.1
2007-11-14 25.07
2007-11-15 25.42
2007-11-16 26.82
2007-11-19 26.76
2007-11-20 26.719999
2007-11-21 25.709999
2007-11-23 26.129999
2007-11-26 25.219999
2007-11-27 25.59
2007-11-28 26.200001
2007-11-29 26.629999
2007-11-30 26.809999
2007-12-03 26.610001
2007-12-04 26.42
2007-12-05 25.98
2007-12-06 25.959999
2007-12-07 25.629999
2007-12-10 25.200001
2007-12-11 24.469999
2007-12-12 24.540001
2007-12-13 24.379999
2007-12-14 24.059999
2007-12-17 23.040001
2007-12-18 23.02
2007-12-19 23.309999
2007-12-20 23.639999
2007-12-21 24.01
2007-12-24 24.049999
2007-12-26 23.959999
2007-12-27 23.709999
2007-12-28 23.450001
2007-12-31 23.26
2008-01-02 23.719999
2008-01-03 23.84
2008-01-04 23.16
2008-01-07 23.18
2008-01-08 22.610001
2008-01-09 22.559999
2008-01-10 24.09
2008-01-11 23.360001
2008-01-14 23.700001
2008-01-15 22.91
2008-01-16 21.950001
2008-01-17 21.219999
2008-01-18 20.780001
2008-01-22 19.860001
2008-01-23 20.01
2008-01-24 21.690001
2008-01-25 21.940001
2008-01-28 20.780001
2008-01-29 20.809999
2008-01-30 19.049999
2008-01-31 19.18
2008-02-01 28.379999
2008-02-04 29.33
2008-02-05 28.98
2008-02-06 28.57
2008-02-07 29.040001
2008-02-08 29.200001
2008-02-11 29.870001
2008-02-12 29.57
2008-02-13 29.879999
2008-02-14 29.98
2008-02-15 29.66
2008-02-19 29.01
2008-02-20 28.83
2008-02-21 28.42
2008-02-22 28.42
2008-02-25 28.129999
2008-02-26 28.219999
2008-02-27 28.370001
2008-02-28 28.15
2008-02-29 27.780001
2008-03-03 27.77
2008-03-04 28.059999
2008-03-05 28.67
2008-03-06 28.700001
2008-03-07 29.030001
2008-03-10 28.51
2008-03-11 29
2008-03-12 28.450001
2008-03-13 27.5
2008-03-14 26.709999
2008-03-17 25.85
2008-03-18 27.66
2008-03-19 27.07
2008-03-20 27.66
2008-03-24 27.52
2008-03-25 28.73
2008-03-26 28.49
2008-03-27 28.09
2008-03-28 28.99
2008-03-31 28.93
2008-04-01 28.5
2008-04-02 27.82
2008-04-03 28.129999
2008-04-04 28.360001
2008-04-07 27.700001
2008-04-08 27.700001
2008-04-09 27.77
2008-04-10 28.59
2008-04-11 28.34
2008-04-14 27.799999
2008-04-15 28.17
2008-04-16 28.309999
2008-04-17 28.030001
2008-04-18 28.43
2008-04-21 28.549999
2008-04-22 28.540001
2008-04-23 28.08
2008-04-24 27.299999
2008-04-25 26.799999
2008-04-28 26.43
2008-04-29 27.360001
2008-04-30 27.41
2008-05-01 26.809999
2008-05-02 28.67
2008-05-05 24.370001
2008-05-06 25.719999
2008-05-07 25.639999
2008-05-08 26.219999
2008-05-09 25.93
2008-05-12 25.26
2008-05-13 26.559999
2008-05-14 27.139999
2008-05-15 27.75
2008-05-16 27.66
2008-05-19 27.68
2008-05-20 27.48
2008-05-21 27.33
2008-05-22 27.530001
2008-05-23 27.719999
2008-05-27 27
2008-05-28 27.16
2008-05-29 27.07
2008-05-30 26.76
2008-06-02 26.4
2008-06-03 26.15
2008-06-04 26.85
2008-06-05 26.360001
2008-06-06 26.440001
2008-06-09 26.58
2008-06-10 26.4
2008-06-11 26.15
2008-06-12 23.52
2008-06-13 23.469999
2008-06-16 23.540001
2008-06-17 23.25
2008-06-18 22.91
2008-06-19 22.73
2008-06-20 21.99
2008-06-23 21.450001
2008-06-24 22.040001
2008-06-25 22.01
2008-06-26 21.370001
2008-06-27 21.33
2008-06-30 20.66
2008-07-01 20.200001
2008-07-02 20.879999
2008-07-03 21.35
2008-07-07 23.91
2008-07-08 24.639999
2008-07-09 23.82
2008-07-10 23.5
2008-07-11 23.57
2008-07-14 22.57
2008-07-15 21.540001
2008-07-16 22.48
2008-07-17 22.440001
2008-07-18 22.450001
2008-07-21 21.67
2008-07-22 21.4
2008-07-23 20.389999
2008-07-24 20.530001
2008-07-25 21.129999
2008-07-28 20.120001
2008-07-29 20.15
2008-07-30 20.030001
2008-07-31 19.889999
2008-08-01 19.799999
2008-08-04 19.379999
2008-08-05 19.82
2008-08-06 20
2008-08-07 20.190001
2008-08-08 19.9
2008-08-11 20.26
2008-08-12 20.43
2008-08-13 20.360001
2008-08-14 20.280001
2008-08-15 20.440001
2008-08-18 19.73
2008-08-19 19.42
2008-08-20 19.17
2008-08-21 19.110001
2008-08-22 19.530001
2008-08-25 19.09
2008-08-26 19.09
2008-08-27 19.370001
2008-08-28 19.65
2008-08-29 19.379999
2008-09-02 18.75
2008-09-03 18.76
2008-09-04 17.75
2008-09-05 18.08
2008-09-08 18.26
2008-09-09 17.58
2008-09-10 17.700001
2008-09-11 18.549999
2008-09-12 19.08
2008-09-15 18.85
2008-09-16 19.26
2008-09-17 18.82
2008-09-18 20.82
2008-09-19 19.889999
2008-09-22 18.68
2008-09-23 18.93
2008-09-24 19.15
2008-09-25 19.200001
2008-09-26 18.92
2008-09-29 16.879999
2008-09-30 17.299999
2008-10-01 16.959999
2008-10-02 15.58
2008-10-03 16
2008-10-06 15.31
2008-10-07 14.58
2008-10-08 13.76
2008-10-09 12.65
2008-10-10 12.29
2008-10-13 13.49
2008-10-14 12.65
2008-10-15 11.75
2008-10-16 12.99
2008-10-17 12.9
2008-10-20 12.86
2008-10-21 12.07
2008-10-22 12.39
2008-10-23 12.65
2008-10-24 12.1
2008-10-27 11.58
2008-10-28 12.36
2008-10-29 12.14
2008-10-30 12.93
2008-10-31 12.82
2008-11-03 12.75
2008-11-04 13.35
2008-11-05 13.92
2008-11-06 13.96
2008-11-07 12.2
2008-11-10 11.87
2008-11-11 11.35
2008-11-12 10.34
2008-11-13 11.15
2008-11-14 10.82
2008-11-17 10.63
2008-11-18 11.55
2008-11-19 9.14
2008-11-20 8.95
2008-11-21 9.39
2008-11-24 10.21
2008-11-25 10.07
2008-11-26 10.58
2008-11-28 11.51
2008-12-01 10.74
2008-12-02 11.5
2008-12-03 11.5
2008-12-04 11.05
2008-12-05 11.66
2008-12-08 12.2
2008-12-09 12.19
2008-12-10 13.4
2008-12-11 12.73
2008-12-12 13.15
2008-12-15 12.73
2008-12-16 13.36
2008-12-17 13.11
2008-12-18 12.72
2008-12-19 13.03
2008-12-22 12.35
2008-12-23 12.42
2008-12-24 12.32
2008-12-26 12.34
2008-12-29 11.88
2008-12-30 11.97
2008-12-31 12.2
2009-01-02 12.85
2009-01-05 12.86
2009-01-06 13
2009-01-07 12.71
2009-01-08 13.07
2009-01-09 13.13
2009-01-12 12.22
2009-01-13 12.1
2009-01-14 12.41
2009-01-15 11.61
2009-01-16 11.59
2009-01-20 11.01
2009-01-21 11.59
2009-01-22 11.28
2009-01-23 11.32
2009-01-26 11.17
2009-01-27 11.34
2009-01-28 12.24
2009-01-29 11.74
2009-01-30 11.73
2009-02-02 12.15
2009-02-03 12.68
2009-02-04 13
2009-02-05 13.51
2009-02-06 13.63
2009-02-09 13.9
2009-02-10 12.75
2009-02-11 12.63
2009-02-12 12.66
2009-02-13 12.84
2009-02-17 12.02
2009-02-18 12.22
2009-02-19 11.98
2009-02-20 12.14
2009-02-23 11.97
2009-02-24 12.75
2009-02-25 12.48
2009-02-26 12.98
2009-02-27 13.23
2009-03-02 12.58
2009-03-03 12.5
2009-03-04 13.16
2009-03-05 12.53
2009-03-06 13.05
2009-03-09 12.66
2009-03-10 13.23
2009-03-11 13.39
2009-03-12 13.6
2009-03-13 13.51
2009-03-16 13.22
2009-03-17 13.99
2009-03-18 13.42
2009-03-19 13.74
2009-03-20 13.6
2009-03-23 14.09
2009-03-24 13.63
2009-03-25 13.55
2009-03-26 13.35
2009-03-27 13.18
2009-03-30 12.7
2009-03-31 12.81
2009-04-01 12.75
2009-04-02 12.95
2009-04-03 13.34
2009-04-06 13.23
2009-04-07 12.81
2009-04-08 12.92
2009-04-09 13.47
2009-04-13 14.42
2009-04-14 14.07
2009-04-15 14.02
2009-04-16 14.43
2009-04-17 14.39
2009-04-20 13.66
2009-04-21 14.38
2009-04-22 14.48
2009-04-23 14.55
2009-04-24 14.73
2009-04-27 13.89
2009-04-28 13.64
2009-04-29 14.02
2009-04-30 14.29
2009-05-01 14.14
2009-05-04 14.18
2009-05-05 14.74
2009-05-06 14.85
2009-05-07 14.8
2009-05-08 15.15
2009-05-11 15.54
2009-05-12 15.1
2009-05-13 14.52
2009-05-14 14.76
2009-05-15 14.91
2009-05-18 15.17
2009-05-19 15.18
2009-05-20 14.96
2009-05-21 14.87
2009-05-22 14.98
2009-05-26 15.28
2009-05-27 14.94
2009-05-28 15.09
2009-05-29 15.84
2009-06-01 16.58
2009-06-02 16.620001
2009-06-03 16.299999
2009-06-04 16.65
2009-06-05 16.639999
2009-06-08 16.190001
2009-06-09 16.4
2009-06-10 16.32
2009-06-11 16.190001
2009-06-12 16.4
2009-06-15 16.4
2009-06-16 15.96
2009-06-17 15.6
2009-06-18 15.34
2009-06-19 15.8
2009-06-22 14.71
2009-06-23 14.68
2009-06-24 15.45
2009-06-25 15.53
2009-06-26 15.74
2009-06-29 15.9
2009-06-30 15.66
2009-07-01 15.41
2009-07-02 14.99
2009-07-06 14.91
2009-07-07 14.44
2009-07-08 14.38
2009-07-09 14.55
2009-07-10 14.93
2009-07-13 15.01
2009-07-14 15.18
2009-07-15 15.71
2009-07-16 16.190001
2009-07-17 16.84
2009-07-20 17.01
2009-07-21 16.75
2009-07-22 17.370001
2009-07-23 17.360001
2009-07-24 17.48
2009-07-27 17
2009-07-28 17.219999
2009-07-29 15.14
2009-07-30 14.6
2009-07-31 14.32
2009-08-03 14.34
2009-08-04 14.51
2009-08-05 14.67
2009-08-06 14.74
2009-08-07 14.62
2009-08-10 14.63
2009-08-11 14.46
2009-08-12 14.68
2009-08-13 15.04
2009-08-14 15.04
2009-08-17 14.56
2009-08-18 14.75
2009-08-19 14.79
2009-08-20 14.77
2009-08-21 14.79
2009-08-24 14.99
2009-08-25 15.07
2009-08-26 14.93
2009-08-27 14.93
2009-08-28 14.85
2009-08-31 14.61
2009-09-01 14.18
2009-09-02 14.23
2009-09-03 14.28
2009-09-04 14.5
2009-09-08 14.49
2009-09-09 14.78
2009-09-10 15.45
2009-09-11 15.59
2009-09-14 15.57
2009-09-15 16.41
2009-09-16 16.99
2009-09-17 17.5
2009-09-18 17.389999
2009-09-21 17.040001
2009-09-22 16.860001
2009-09-23 17.209999
2009-09-24 16.889999
2009-09-25 17.08
2009-09-28 17.469999
2009-09-29 17.450001
2009-09-30 17.809999
2009-10-01 17.389999
2009-10-02 16.84
2009-10-05 16.799999
2009-10-06 17.299999
2009-10-07 17.49
2009-10-08 17.58
2009-10-09 16.870001
2009-10-12 16.75
2009-10-13 16.879999
2009-10-14 16.950001
2009-10-15 16.52
2009-10-16 16.809999
2009-10-19 17.219999
2009-10-20 17.17
2009-10-21 17.66
2009-10-22 17.67
2009-10-23 17.219999
2009-10-26 16.870001
2009-10-27 16.690001
2009-10-28 16.040001
2009-10-29 16.129999
2009-10-30 15.9
2009-11-02 15.85
2009-11-03 15.7
2009-11-04 15.69
2009-11-05 15.9
2009-11-06 15.94
2009-11-09 16.02
2009-11-10 16.040001
2009-11-11 16.09
2009-11-12 16
2009-11-13 15.93
2009-11-16 16.07
2009-11-17 16.049999
2009-11-18 15.98
2009-11-19 15.61
2009-11-20 15.38
2009-11-23 15.45
2009-11-24 15.24
2009-11-25 15.3
2009-11-27 15
2009-11-30 14.97
2009-12-01 15.13
2009-12-02 15.31
2009-12-03 15.11
2009-12-04 15.19
2009-12-07 15.45
2009-12-08 15.45
2009-12-09 15.18
2009-12-10 15.49
2009-12-11 15.74
2009-12-14 15.81
2009-12-15 15.74
2009-12-16 15.79
2009-12-17 15.82
2009-12-18 16.139999
2009-12-21 15.88
2009-12-22 15.98
2009-12-23 16.67
2009-12-24 16.719999
2009-12-28 16.879999
2009-12-29 16.92
2009-12-30 16.98
2009-12-31 16.780001
2010-01-04 17.1
2010-01-05 17.23
2010-01-06 17.17
2010-01-07 16.700001
2010-01-08 16.700001
2010-01-11 16.74
2010-01-12 16.68
2010-01-13 16.9
2010-01-14 17.120001
2010-01-15 16.82
2010-01-19 16.75
2010-01-20 16.379999
2010-01-21 16.200001
2010-01-22 15.88
2010-01-25 15.86
2010-01-26 15.99
2010-01-27 15.98
2010-01-28 15.44
2010-01-29 15.01
2010-02-01 15.05
2010-02-02 15.17
2010-02-03 15.46
2010-02-04 15.01
2010-02-05 15.19
2010-02-08 14.99
2010-02-09 15.07
2010-02-10 14.8
2010-02-11 15.22
2010-02-12 15.17
2010-02-16 15.41
2010-02-17 15.44
2010-02-18 15.54
2010-02-19 15.58
2010-02-22 15.49
2010-02-23 15.38
2010-02-24 15.59
2010-02-25 15.24
2010-02-26 15.31
2010-03-01 15.79
2010-03-02 15.73
2010-03-03 15.57
2010-03-04 15.81
2010-03-05 16.059999
2010-03-08 16.52
2010-03-09 16.530001
2010-03-10 16.790001
2010-03-11 16.530001
2010-03-12 16.32
2010-03-15 16.459999
2010-03-16 16.360001
2010-03-17 16.5
2010-03-18 16.559999
2010-03-19 16.440001
2010-03-22 16.34
2010-03-23 16.030001
2010-03-24 16.09
2010-03-25 16.32
2010-03-26 16.540001
2010-03-29 16.559999
2010-03-30 16.610001
2010-03-31 16.530001
2010-04-01 16.290001
2010-04-05 16.51
2010-04-06 16.92
2010-04-07 16.870001
2010-04-08 17.35
2010-04-09 17.52
2010-04-12 17.639999
2010-04-13 18.18
2010-04-14 18.379999
2010-04-15 18.969999
2010-04-16 18.17
2010-04-19 18.389999
2010-04-20 18.379999
2010-04-21 17.450001
2010-04-22 17.719999
2010-04-23 17.639999
2010-04-26 17.389999
2010-04-27 16.92
2010-04-28 16.75
2010-04-29 16.969999
2010-04-30 16.530001
2010-05-03 16.950001
2010-05-04 16.32
2010-05-05 16.49
2010-05-06 15.92
2010-05-07 15.29
2010-05-10 16.33
2010-05-11 16.41
2010-05-12 16.469999
2010-05-13 16.139999
2010-05-14 16.389999
2010-05-17 16.27
2010-05-18 16.030001
2010-05-19 15.79
2010-05-20 15.1
2010-05-21 15.48
2010-05-24 15.54
2010-05-25 15.31
2010-05-26 15.45
2010-05-27 15.69
2010-05-28 15.34
2010-06-01 15.02
2010-06-02 15.18
2010-06-03 15.43
2010-06-04 15
2010-06-07 14.94
2010-06-08 14.79
2010-06-09 14.69
2010-06-10 15.1
2010-06-11 15.29
2010-06-14 15.17
2010-06-15 15.65
2010-06-16 15.49
2010-06-17 15.6
2010-06-18 15.54
2010-06-21 15.21
2010-06-22 15.09
2010-06-23 15.23
2010-06-24 14.83
2010-06-25 14.81
2010-06-28 14.73
2010-06-29 14.04
2010-06-30 13.84
2010-07-01 14.09
2010-07-02 14.07
2010-07-06 14.13
2010-07-07 14.4
2010-07-08 14.6
2010-07-09 14.89
2010-07-12 14.94
2010-07-13 15.52
2010-07-14 15.37
2010-07-15 15.37
2010-07-16 14.9
2010-07-19 15.1
2010-07-20 15.2
2010-07-21 13.91
2010-07-22 13.88
2010-07-23 13.99
2010-07-26 14.15
2010-07-27 13.95
2010-07-28 13.87
2010-07-29 13.76
2010-07-30 13.88
2010-08-02 14
2010-08-03 13.94
2010-08-04 14.18
2010-08-05 14.16
2010-08-06 14.34
2010-08-09 14.4
2010-08-10 14.35
2010-08-11 13.87
2010-08-12 13.85
2010-08-13 13.83
2010-08-16 13.79
2010-08-17 13.94
2010-08-18 13.99
2010-08-19 13.85
2010-08-20 13.79
2010-08-23 13.65
2010-08-24 13.4
2010-08-25 13.26
2010-08-26 13.21
2010-08-27 13.43
2010-08-30 13.18
2010-08-31 13.11
2010-09-01 13.37
2010-09-02 13.51
2010-09-03 13.62
2010-09-07 13.53
2010-09-08 13.75
2010-09-09 13.65
2010-09-10 13.68
2010-09-13 13.73
2010-09-14 13.63
2010-09-15 14.27
2010-09-16 14.19
2010-09-17 13.89
2010-09-20 13.86
2010-09-21 14.18
2010-09-22 14.04
2010-09-23 14.17
2010-09-24 14.5
2010-09-27 14.28
2010-09-28 14.39
2010-09-29 14.34
2010-09-30 14.17
2010-10-01 14.27
2010-10-04 14.28
2010-10-05 14.61
2010-10-06 14.52
2010-10-07 14.23
2010-10-08 14.49
2010-10-11 14.41
2010-10-12 14.43
2010-10-13 15.25
2010-10-14 15.93
2010-10-15 16.25
2010-10-18 15.93
2010-10-19 15.49
2010-10-20 15.8
2010-10-21 15.97
2010-10-22 16.309999
2010-10-25 16.4
2010-10-26 16.459999
2010-10-27 16.42
2010-10-28 16.4
2010-10-29 16.49
2010-11-01 16.15
2010-11-02 16.190001
2010-11-03 16.17
2010-11-04 16.200001
2010-11-05 16.27
2010-11-08 16.440001
2010-11-09 16.969999
2010-11-10 16.940001
2010-11-11 16.799999
2010-11-12 16.549999
2010-11-15 16.6
2010-11-16 16.24
2010-11-17 16.15
2010-11-18 16.99
2010-11-19 16.57
2010-11-22 16.559999
2010-11-23 16.190001
2010-11-24 16.41
2010-11-26 16.219999
2010-11-29 16.379999
2010-11-30 15.82
2010-12-01 16.15
2010-12-02 16.33
2010-12-03 16.35
2010-12-06 16.33
2010-12-07 16.940001
2010-12-08 17.02
2010-12-09 16.950001
2010-12-10 17.01
2010-12-13 16.700001
2010-12-14 16.629999
2010-12-15 16.450001
2010-12-16 16.51
2010-12-17 16.379999
2010-12-20 16.280001
2010-12-21 16.6
2010-12-22 16.629999
2010-12-23 16.719999
2010-12-27 16.48
2010-12-28 16.43
2010-12-29 16.610001
2010-12-30 16.76
2010-12-31 16.629999
2011-01-03 16.75
2011-01-04 16.59
2011-01-05 16.91
2011-01-06 17.059999
2011-01-07 16.9
2011-01-10 16.6
2011-01-11 16.58
2011-01-12 16.65
2011-01-13 16.75
2011-01-14 16.809999
2011-01-18 16.5
2011-01-19 16.309999
2011-01-20 16.23
2011-01-21 15.97
2011-01-24 16.09
2011-01-25 16.02
2011-01-26 15.57
2011-01-27 16.200001
2011-01-28 15.83
2011-01-31 16.120001
2011-02-01 16.379999
2011-02-02 16.57
2011-02-03 16.690001
2011-02-04 16.790001
2011-02-07 16.799999
2011-02-08 16.6
2011-02-09 16.43
2011-02-10 16.620001
2011-02-11 16.85
2011-02-14 16.889999
2011-02-15 17.200001
2011-02-16 17.76
2011-02-17 17.77
2011-02-18 17.66
2011-02-22 16.91
2011-02-23 16.58
2011-02-24 16.370001
2011-02-25 16.5
2011-02-28 16.4
2011-03-01 16.1
2011-03-02 16.629999
2011-03-03 16.860001
2011-03-04 17.08
2011-03-07 16.700001
2011-03-08 16.940001
2011-03-09 17.65
2011-03-10 17.059999
2011-03-11 17.42
2011-03-14 17.309999
2011-03-15 16.33
2011-03-16 15.91
2011-03-17 15.86
2011-03-18 16.030001
2011-03-21 16.290001
2011-03-22 16.360001
2011-03-23 16.129999
2011-03-24 16.83
2011-03-25 16.959999
2011-03-28 16.58
2011-03-29 16.75
2011-03-30 16.74
2011-03-31 16.68
2011-04-01 16.84
2011-04-04 16.870001
2011-04-05 17.110001
2011-04-06 17.049999
2011-04-07 17
2011-04-08 16.77
2011-04-11 16.59
2011-04-12 16.360001
2011-04-13 16.639999
2011-04-14 16.690001
2011-04-15 16.620001
2011-04-18 16.35
2011-04-19 16.120001
2011-04-20 16.870001
2011-04-21 16.85
2011-04-25 17.110001
2011-04-26 17.280001
2011-04-27 17.26
2011-04-28 17.51
2011-04-29 17.700001
2011-05-02 18.139999
2011-05-03 17.92
2011-05-04 18.200001
2011-05-05 18.43
2011-05-06 18.65
2011-05-09 18.559999
2011-05-10 18.549999
2011-05-11 17.200001
2011-05-12 17.17
2011-05-13 16.549999
2011-05-16 15.81
2011-05-17 16
2011-05-18 15.96
2011-05-19 16.35
2011-05-20 16.299999
2011-05-23 16.059999
2011-05-24 16.139999
2011-05-25 16.15
2011-05-26 15.98
2011-05-27 16.02
2011-05-31 16.549999
2011-06-01 15.85
2011-06-02 16.02
2011-06-03 15.68
2011-06-06 15.45
2011-06-07 15.45
2011-06-08 15.1
2011-06-09 15.22
2011-06-10 15.2
2011-06-13 15.16
2011-06-14 15.2
2011-06-15 14.81
2011-06-16 14.78
2011-06-17 14.7
2011-06-20 14.99
2011-06-21 15.35
2011-06-22 15.23
2011-06-23 15.08
2011-06-24 14.89
2011-06-27 14.88
2011-06-28 14.95
2011-06-29 14.89
2011-06-30 15.04
2011-07-01 15.45
2011-07-05 15.49
2011-07-06 15.72
2011-07-07 15.81
2011-07-08 15.61
2011-07-11 15.05
2011-07-12 14.86
2011-07-13 14.91
2011-07-14 14.63
2011-07-15 14.69
2011-07-18 14.42
2011-07-19 14.59
2011-07-20 13.48
2011-07-21 13.59
2011-07-22 13.98
2011-07-25 13.69
2011-07-26 13.94
2011-07-27 13.59
2011-07-28 13.5
2011-07-29 13.1
2011-08-01 13.1
2011-08-02 12.76
2011-08-03 13.02
2011-08-04 12
2011-08-05 11.74
2011-08-08 11.09
2011-08-09 12.09
2011-08-10 11.77
2011-08-11 12.86
2011-08-12 13.59
2011-08-15 13.47
2011-08-16 13.48
2011-08-17 13.47
2011-08-18 12.96
2011-08-19 12.92
2011-08-22 12.84
2011-08-23 13.35
2011-08-24 13.15
2011-08-25 12.87
2011-08-26 12.74
2011-08-29 13.68
2011-08-30 13.84
2011-08-31 13.61
2011-09-01 13.35
2011-09-02 12.87
2011-09-06 12.91
2011-09-07 13.61
2011-09-08 14.44
2011-09-09 14.48
2011-09-12 14.26
2011-09-13 14.26
2011-09-14 14.55
2011-09-15 14.89
2011-09-16 14.97
2011-09-19 14.61
2011-09-20 14.36
2011-09-21 13.96
2011-09-22 13.99
2011-09-23 14.71
2011-09-26 14.75
2011-09-27 14.54
2011-09-28 14.19
2011-09-29 13.42
2011-09-30 13.17
2011-10-03 13.53
2011-10-04 14.46
2011-10-05 15.92
2011-10-06 15.65
2011-10-07 15.47
2011-10-10 15.84
2011-10-11 15.86
2011-10-12 15.77
2011-10-13 15.93
2011-10-14 15.91
2011-10-17 15.7
2011-10-18 15.47
2011-10-19 15.94
2011-10-20 16.18
2011-10-21 16.120001
2011-10-24 16.709999
2011-10-25 16.24
2011-10-26 16.299999
2011-10-27 16.629999
2011-10-28 16.559999
2011-10-31 15.64
2011-11-01 14.93
2011-11-02 15.1
2011-11-03 15.48
2011-11-04 15.24
2011-11-07 15.69
2011-11-08 15.97
2011-11-09 15.92
2011-11-10 15.95
2011-11-11 16.27
2011-11-14 16
2011-11-15 15.93
2011-11-16 15.72
2011-11-17 15.34
2011-11-18 15.38
2011-11-21 14.99
2011-11-22 14.97
2011-11-23 14.94
2011-11-25 15.1
2011-11-28 15.35
