State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,CI_Min_No_Exercise,CI_Max_No_Exercise,Few_Fruit_Veg,CI_Min_Fruit_Veg,CI_Max_Fruit_Veg,Obesity,CI_Min_Obesity,CI_Max_Obesity,High_Blood_Pres,CI_Min_High_Blood_Pres,CI_Max_High_Blood_Pres,Smoker,CI_Min_Smoker,CI_Max_Smoker,Diabetes,CI_Min_Diabetes,CI_Max_Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind
01,021,Chilton,Alabama,AL,32,30.3,23.1,37.5,82.8,75.2,90.4,31.2,24,38.4,26.5,17.2,35.8,30,22,38,6,3.2,8.9,6130,4527,1307,31.1,19.2,1,2
01,023,Choctaw,Alabama,AL,66,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,17.1,8.5,25.8,13.5,6.6,20.3,2677,2148,800,33.8,20.3,1,1
01,025,Clarke,Alabama,AL,51,31.5,22,41.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,15.8,8.2,23.4,4593,3850,1150,55,29.3,2,2
01,027,Clay,Alabama,AL,63,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,23.9,14.3,33.5,12.2,4.4,20,2320,2198,610,35.8,14.3,2,1
01,029,Cleburne,Alabama,AL,41,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.5,3.6,17.5,2107,1852,646,0,6.9,2,1
01,031,Coffee,Alabama,AL,32,23.3,17.2,29.4,-1111.1,-1111.1,-1111.1,25.5,18.7,32.3,31.3,21.7,40.9,23,16.9,29.1,10.3,4.1,16.6,6764,6099,1366,48.3,39.5,1,2
01,033,Colbert,Alabama,AL,21,30.2,23.3,37.2,76.9,66.8,86.9,30.1,22.2,38,-1111.1,-1111.1,-1111.1,21.7,15.5,27.9,13.6,8.9,18.3,8141,8226,2302,60.4,31.1,1,2
01,035,Conecuh,Alabama,AL,75,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,12.3,3.7,20.9,8.2,2.9,13.6,2657,1947,725,60.3,7.5,1,1
01,037,Coosa,Alabama,AL,41,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,15,6.1,24,2028,1562,621,9,9,1,1
01,039,Covington,Alabama,AL,35,28.8,21.1,36.6,-1111.1,-1111.1,-1111.1,30.2,22.1,38.3,-1111.1,-1111.1,-1111.1,27.8,19.4,36.1,12.1,6.8,17.5,6094,6401,1583,59.5,24.3,1,2
01,041,Crenshaw,Alabama,AL,71,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2504,2272,568,14.6,14.6,1,1
01,043,Cullman,Alabama,AL,21,29.4,23.9,34.9,76.2,69.4,83,22.2,17,27.4,35,26,44,27.6,21.9,33.3,10,6.5,13.5,11912,11129,2400,53.8,22.5,1,2
01,045,Dale,Alabama,AL,33,30.4,22.8,37.9,79.5,71.7,87.3,25,18.4,31.5,-1111.1,-1111.1,-1111.1,29.3,21.8,36.8,12.1,7.4,16.7,7831,7809,2314,24.6,22.6,2,1
01,047,Dallas,Alabama,AL,52,31.5,23.9,39.1,85.9,79.4,92.4,36.6,28.8,44.5,-1111.1,-1111.1,-1111.1,20.4,13.9,27,11.5,7.2,15.7,9242,6424,2302,101.4,38.3,1,2
01,049,DeKalb,Alabama,AL,24,37,30.4,43.6,80.7,74,87.5,24.3,18.2,30.3,35.3,25.8,44.8,19.1,13.6,24.6,7.8,4.6,11,12260,8411,2351,34.2,19.3,1,2
01,051,Elmore,Alabama,AL,19,27.7,22,33.4,85,78.6,91.3,24.8,19.2,30.4,23,15.6,30.4,22.6,17.1,28.1,5.5,3.2,7.8,8320,7792,2167,33.8,16.2,1,2
01,053,Escambia,Alabama,AL,51,34.3,26.3,42.3,87.1,80.5,93.6,33.7,25.4,41.9,-1111.1,-1111.1,-1111.1,26.1,18.1,34.1,11.4,6.3,16.5,6490,5064,1476,57.8,26.3,1,2
01,055,Etowah,Alabama,AL,6,34.1,29.6,38.5,81.4,76,86.8,27.1,22.8,31.3,38.2,31.2,45.2,31.5,26.8,36.2,10.2,7.5,12.9,16180,15265,4508,72.7,42.6,1,2
01,057,Fayette,Alabama,AL,63,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,32.7,22.8,42.6,-1111.1,-1111.1,-1111.1,21.2,13,29.4,12.7,6.6,18.8,2358,2544,731,60.3,16.5,2,2
01,059,Franklin,Alabama,AL,49,28.9,19,38.9,85.5,75.7,95.3,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.2,2.9,11.6,5977,4871,1320,35.8,22.8,1,2
01,061,Geneva,Alabama,AL,64,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,34.5,24.5,44.5,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.4,4,14.7,4759,4173,1118,35,15.5,2,1
01,063,Greene,Alabama,AL,75,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.1,0,14.5,2384,1287,461,31.1,10.4,1,1
01,065,Hale,Alabama,AL,76,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,5.2,0.3,10.1,3422,2358,825,27.3,5.5,1,1
01,067,Henry,Alabama,AL,63,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8,1.8,14.2,2556,2583,631,18.1,30.1,2,2
01,069,Houston,Alabama,AL,23,32.9,27.6,38.3,77.7,71.3,84.1,29.5,24.2,34.9,34,25.8,42.2,25,19.8,30.1,8.8,5.5,12,14235,9901,2416,106.1,47.7,1,2
01,071,Jackson,Alabama,AL,22,34,27.3,40.7,82.3,75.5,89.2,29.4,22.3,36.5,29.2,19.5,38.9,37,29.5,44.5,6.1,3.1,9.1,7294,7744,1978,70.8,29.8,1,2
01,073,Jefferson,Alabama,AL,3,29,27.1,31,79.1,76.8,81.4,27.1,25.2,29.1,31.9,29,34.7,23.4,21.5,25.3,9.7,8.5,10.8,87428,89884,21625,154.9,71.5,1,2
01,075,Lamar,Alabama,AL,63,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3.2,0.1,6.3,2237,2648,702,13.4,20.1,2,2
01,077,Lauderdale,Alabama,AL,21,25.8,21,30.5,77.1,70.2,84.1,23.8,19,28.5,34.7,26.6,42.8,21.1,16.1,26,6.7,4.2,9.2,11424,13168,3134,58.2,49,1,2
01,079,Lawrence,Alabama,AL,32,31.9,22.9,40.9,85.2,76.5,93.9,19.9,12.6,27.1,-1111.1,-1111.1,-1111.1,28.5,19.4,37.5,9.2,4.3,14.1,5396,3526,1074,28.9,8.7,1,1
01,081,Lee,Alabama,AL,22,25.9,21.1,30.6,74.9,68,81.8,21.7,16.9,26.5,24.5,18,31.1,27.1,21.7,32.6,7.8,5.3,10.4,17335,9041,2465,63.3,26,1,2
01,083,Limestone,Alabama,AL,19,30.4,23.8,37.1,79.5,71.5,87.6,26,18.3,33.7,-1111.1,-1111.1,-1111.1,25,18.4,31.7,8.1,4.5,11.8,8934,7024,1778,39.7,15.6,1,2
01,085,Lowndes,Alabama,AL,66,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.6,1.4,17.7,2951,1326,507,15.3,7.6,1,2
01,087,Macon,Alabama,AL,44,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,15.7,7.4,24,13.6,6.7,20.6,4325,2862,781,26.3,21.9,1,1
01,089,Madison,Alabama,AL,4,22.9,20,25.7,75.6,71.7,79.6,23.1,20,26.1,24.9,20.2,29.6,21.3,18.4,24.2,6.5,4.9,8.1,35743,32428,5431,95.2,46.6,1,2
01,091,Marengo,Alabama,AL,67,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,15.6,6.2,25,11.3,4.6,18.1,4074,2816,862,54.8,13.7,1,2
01,093,Marion,Alabama,AL,49,-1111.1,-1111.1,-1111.1,84.8,76.9,92.7,30.9,21.8,40,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.1,4.8,15.4,5205,4619,1284,53.1,26.5,2,2
01,095,Marshall,Alabama,AL,22,34.8,29.2,40.5,82.1,76.6,87.6,27.5,21.6,33.4,36.8,28.8,44.7,31.6,26,37.2,7.2,4.3,10.1,14593,12686,3083,63.1,33.9,2,2
01,097,Mobile,Alabama,AL,5,30.8,28.1,33.5,76.2,72.7,79.7,26.6,24,29.1,27.2,23.6,30.8,25.1,22.5,27.7,6.6,5.3,7.9,65687,47123,12197,95.4,38.4,1,2
01,099,Monroe,Alabama,AL,67,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.1,2.8,13.3,4269,3035,889,50.6,29.5,1,2
01,101,Montgomery,Alabama,AL,7,28.2,24.6,31.9,75.6,70.7,80.5,23.9,20.5,27.2,27.8,22.8,32.7,20.7,17.4,24,8.5,6.7,10.3,32259,25495,6378,107.4,49.2,1,2
01,103,Morgan,Alabama,AL,14,23.4,18.8,27.9,74.5,67.7,81.4,22.5,17.6,27.4,32.7,24.7,40.7,28.9,23.6,34.2,6.7,4.3,9.1,16097,14763,3367,76.5,41.3,1,2
01,105,Perry,Alabama,AL,75,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2776,1538,487,35.2,26.4,1,1
01,107,Pickens,Alabama,AL,76,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,15.2,7.6,22.7,12.8,4.8,20.9,3606,3147,929,49.6,9.9,2,1
01,109,Pike,Alabama,AL,35,24.2,16.6,31.7,-1111.1,-1111.1,-1111.1,29.1,20.2,37.9,-1111.1,-1111.1,-1111.1,16.5,9,24,11.3,5.7,16.9,5696,3917,1180,57.4,27,1,2
01,111,Randolph,Alabama,AL,72,35.2,25.3,45.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,22.1,13.8,30.5,8.1,3.2,13,3575,3357,869,26.4,17.6,2,2
01,113,Russell,Alabama,AL,8,32.8,23.9,41.7,-1111.1,-1111.1,-1111.1,28.9,21.3,36.5,-1111.1,-1111.1,-1111.1,22,14.8,29.2,9.7,5.3,14,8785,6799,1851,32.4,16.2,1,2
01,115,St. Clair,Alabama,AL,22,28.2,22.8,33.6,79.7,72.6,86.8,27.6,21.8,33.4,39,30,48,28.5,22.8,34.1,13,8.8,17.2,8534,6538,2029,22.1,15.2,2,1
01,117,Shelby,Alabama,AL,11,18.9,15.7,22.1,78.3,73.9,82.7,20.8,17.5,24.2,26.7,21,32.4,21,17.3,24.7,4.8,3.2,6.4,13249,10635,2661,95.6,28,1,2
01,119,Sumter,Alabama,AL,66,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11.8,3.3,20.3,3465,1925,595,36.2,14.5,1,2
01,121,Talladega,Alabama,AL,8,34.1,28.6,39.6,79.1,72.7,85.5,32.7,27.2,38.3,42.2,33.5,50.9,24.1,19.1,29,10.9,7.4,14.4,12378,10035,4300,38.5,21.1,1,2
01,123,Tallapoosa,Alabama,AL,49,32.1,23.8,40.5,79.3,70.7,88,23.2,15.9,30.6,-1111.1,-1111.1,-1111.1,29.4,21.8,37,5.6,2.8,8.4,6488,5808,1749,61.4,34.4,1,2
01,125,Tuscaloosa,Alabama,AL,6,27.1,23.4,30.8,79,74.4,83.6,25.3,21.6,29.1,29.7,23.8,35.5,23.8,19.9,27.6,7.9,5.7,10.2,23311,17734,5539,97.7,32,1,2
01,127,Walker,Alabama,AL,24,34.9,28.9,40.9,79.3,72.4,86.3,30.5,24.7,36.3,35,26,44,33.8,27.7,39.9,11.5,8,15.1,10818,10991,3880,45.6,29.9,1,2
01,129,Washington,Alabama,AL,66,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.5,3.1,18,3037,2210,764,33.8,11.3,1,1
01,131,Wilcox,Alabama,AL,75,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.6,0.6,14.7,2960,1746,781,30.9,7.7,1,1
01,133,Winston,Alabama,AL,41,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,28,18.1,38,-1111.1,-1111.1,-1111.1,26.9,17.3,36.6,8.5,3.5,13.5,4592,3642,1152,32.7,12.2,2,1
02,013,Aleutians East,Alaska,AK,80,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,488,-2222,-2222,73.7,0,1,1
02,016,Aleutians West,Alaska,AK,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,854,190,27,18.6,18.6,1,1
02,020,Anchorage,Alaska,AK,9,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,37239,15489,3874,107.3,78.9,1,2
02,050,Bethel,Alaska,AK,86,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4088,804,142,75.9,58.4,1,2
02,060,Bristol Bay,Alaska,AK,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,153,339,73,0,0,1,2
02,068,Denali,Alaska,AK,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,276,-2222,-2222,0,0,1,1
02,070,Dillingham,Alaska,AK,83,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1133,350,50,182.7,101.5,1,2
02,090,Fairbanks North Star,Alaska,AK,17,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11681,4275,958,93.7,75.4,1,2
02,100,Haines,Alaska,AK,80,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,355,279,33,88,44,1,2
02,110,Juneau,Alaska,AK,47,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3926,2367,502,122.6,67.8,1,2
02,122,Kenai Peninsula,Alaska,AK,77,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8308,4150,942,78.9,40.4,1,2
02,130,Ketchikan Gateway,Alaska,AK,37,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1804,1161,211,128.2,75.4,1,2
02,150,Kodiak Island,Alaska,AK,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2491,382,34,91.9,61.3,1,2
02,164,Lake and Peninsula,Alaska,AK,83,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,395,-2222,-2222,0,0,1,1
02,170,Matanuska-Susitna,Alaska,AK,77,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9561,3977,1006,46,32.9,1,2
02,180,Nome,Alaska,AK,83,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1795,496,69,53.6,64.3,1,1
02,185,North Slope,Alaska,AK,80,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1202,298,62,57.8,43.3,1,1
02,188,Northwest Arctic,Alaska,AK,83,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1291,348,51,39.4,39.4,1,1
02,201,Prince of Wales-Outer Ketchikan,Alaska,AK,80,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1176,401,74,35.3,53,1,1
02,220,Sitka,Alaska,AK,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1093,749,94,189.2,77.9,1,2
02,232,Skagway-Hoonah-Angoon,Alaska,AK,80,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,598,322,69,0,0,1,1
02,240,Southeast Fairbanks,Alaska,AK,80,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1306,451,85,30.2,60.5,2,1
02,261,Valdez-Cordova,Alaska,AK,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1551,634,114,50.5,30.3,1,2
02,270,Wade Hampton,Alaska,AK,88,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2244,378,50,0,0,1,2
02,280,Wrangell-Petersburg,Alaska,AK,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1015,631,97,96.1,64.1,1,2
02,282,Yakutat,Alaska,AK,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,114,-2222,-2222,0,0,1,1
02,290,Yukon-Koyukuk,Alaska,AK,83,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1300,493,71,16.3,16.3,1,1
04,001,Apache,Arizona,AZ,77,22.6,18.3,26.9,64.6,58.1,71.1,24.6,20,29.3,18.4,12.2,24.5,14.3,10,18.7,7.5,4,11,17218,5982,1204,51.9,23.1,1,2
04,003,Cochise,Arizona,AZ,7,22.8,20.3,25.4,72.7,68.7,76.6,23.8,21,26.7,26,21.8,30.2,20.2,17.4,22.9,9.1,7.4,10.8,23944,17099,2795,42,28.5,1,2
04,005,Coconino,Arizona,AZ,77,14.8,12.7,16.9,71,67.8,74.3,16.5,14.3,18.7,17.2,14.1,20.3,19.6,17.1,22.1,4.2,3.1,5.3,22678,11990,2218,87.2,58.9,1,2
04,007,Gila,Arizona,AZ,36,32.7,26.6,38.9,74.2,68.4,80,24.5,19.5,29.6,34.5,25.3,43.7,25.6,20.3,30.9,8.8,5.6,11.9,10361,9981,1679,75.5,27.1,2,2
04,009,Graham,Arizona,AZ,51,25.8,20.1,31.5,79.4,73.1,85.7,23.8,17.8,29.8,24.9,16.5,33.3,16.1,10.6,21.6,10.9,6.4,15.3,6343,3726,687,36.3,42.3,1,1
04,011,Greenlee,Arizona,AZ,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,5,1.5,8.6,1082,907,160,39.9,13.3,1,1
04,012,La Paz,Arizona,AZ,88,26.6,17.8,35.3,83.4,75.8,91.1,22,12.9,31.2,-1111.1,-1111.1,-1111.1,18.1,11,25.3,8.3,3.1,13.5,4885,3324,477,34.6,9.9,2,1
04,013,Maricopa,Arizona,AZ,1,23.3,21.8,24.8,74.7,73,76.4,19.9,18.5,21.3,21.4,19.6,23.3,19.9,18.4,21.4,6.3,5.5,7.1,537647,337774,52336,69.8,33.5,1,2
04,015,Mohave,Arizona,AZ,6,27.9,25.2,30.5,77.6,74.6,80.6,25,22.2,27.8,30.6,26.4,34.7,29.4,26.6,32.2,7.5,6,8.9,31916,32200,5638,39,20.8,1,2
04,017,Navajo,Arizona,AZ,8,23.7,20.9,26.6,75.4,72.1,78.7,25.1,22,28.1,27.1,22.7,31.5,19.8,16.9,22.6,8.8,7,10.6,22206,10326,2233,49.8,24,1,2
