K	L	M
22.88	20.71	21.29
20.5	8.89	21.62
19.89	28.81	28.58
25.62	23.33	25
13.67	11.63	22.93
18.51	11.49	23.62
25.01	21.72	29.89
18.27	19.29	31.58
15.66	31.86	21.49
30.44	20.82	24.94
31.66	31.57	23.28
23.36	22.36	23.75
35.33	18.74	26.04
18	13.34	19.29
16.68	36.19	23.04
20.57	22.01	22.98
29.42	17.65	27.32
16.54	21.39	30.47
16.54	17.65	11.19
19.55	24.22	31.44
39.45	23.01	23.37
31.87	24.25	21.52
17.28	16.4	23.38
19.52	24.56	19.82
36.78	30.12	22.61
22.97	12.63	9.94
19.08	23.92	28.76
15.15	22.22	23.01
19.42	18.71	17.56
24.17	19.19	23.28
14.47	27.23	17.56
22.54	12.77	29.39
16.23	11.61	32.91
21.23	23.19	17.11
26.33	22.69	32.3
32.75	27.61	19.36
16.55	10.99	23.94
17.71	29.37	24.54
26	29.73	16.94
26.12	29.2	15.14
22.72	18.48	25.19
27.53	24.45	21.06
18.58	23.59	35.58
23.08	35.19	16.59
34.51	21.53	18.29
19.05	18.51	27.56
15.75	11.09	20.12
19.99	27.19	25.84
14.66	28.75	23.73
22.33	26.29	35.79
13.96	20.2	21.17
22.95	33.98	16.17
24.82	27.89	28.51
18.07	10.58	18.87
20.11	25.68	19.67
16.32	17.42	24.34
15.95	13.83	21.18
25.96	24.28	24.11
14.66	7.62	34.8
23.53	12.02	26.55
20.97	23.83	22.38
38.96	26.28	18.89
25.79	18.8	22.7
28.65	30.89	21.87
16.96	21.58	29.35
15.5	23.88	20.71
23.54	24.05	23.66
15.2	31.42	21.81
15	26.28	26.06
16.27	24.46	15.99
23.22	27.83	22.72
24.33	8.23	7.75
14.59	15.73	28.02
24.12	17.2	21.22
16.1	18.47	18.38
17.12	21.72	28.62
19.7	14.15	27.37
21.58	20.05	28.15
20.9	20.66	15.35
15.91	14.22	28.56
26.39	15.9	22.84
20.33	18.43	16.71
31.2	25.49	17.67
17.64	25.02	13.09
13.76	14.3	20.16
30.54	31.39	8.46
49.07	14.97	26.5
25.23	19.48	20.39
18.6	22.76	26.31
20.03	20.28	29.16
21.63	22.63	18.87
22.56	27.92	26.63
18.37	27.97	25.91
21.94	21.68	19.12
32.74	21	27.23
18.72	25.83	22.59
23.89	19.35	27.89
18.34	15.34	21.71
15.8	20.61	26.49
23.47	16.12	29.25
23.12	13.95	24.35
20.32	35.05	26.35
18.43	29.96	30.32
22.35	19.91	18.43
14.17	27.98	21.47
21.84	16.9	27.32
29.02	8.48	28.63
41.51	21.97	17.25
14.24	17.99	29.62
15.41	14.75	29.47
24.27	18.15	26.73
32.11	19.15	27.15
25.28	25.87	18.9
16.03	24.21	27.3
24.66	18.76	20.65
17.8	22.4	19.02
25.98	17.62	25
23.5	27.01	21.69
19.69	15.72	10.25
15.61	20.09	27.55
22.52	22.76	12.84
16.06	15.96	29.12
21.55	16.71	22.9
17.63	19.81	23.58
13.42	12.39	22.96
17.25	22.42	20.66
24.9	15.95	18.25
16.65	28.35	31.05
19.41	15.56	22.09
21.75	6.95	27.37
26.08	15.42	13.66
28.9	18.98	17.74
17.56	25.91	21.53
22.13	25.35	24.17
18.23	23.03	14.2
18.11	24.64	22.25
17.02	20.66	22.34
15.87	23.1	30.05
25.41	24.67	21.66
17.78	16.36	12.72
19.19	26.28	20.44
34.7	24.03	25.4
25.98	20.02	23.76
18	18.81	22.99
14.64	23.03	16.76
14.98	26.14	10.2
24.84	18.16	19.79
14.19	19.15	19.72
18.23	13.69	25.93
19.62	23.15	18.18
16.5	33.37	27.5
19.06	4.71	18.35
32.1	19.12	26.16
22.68	24.59	32.62
17.94	15.2	14.4
21.23	24.23	25.39
26.6	12.01	17.04
17.18	19.98	22.32
26.07	32.39	15.75
18.04	24.55	3.4
27.84	28.92	31.6
21.35	17.32	19.39
20.77	19.94	27.43
19	14.37	25.82
18.35	23.77	26.88
14.67	29.12	23.73
17.25	20.26	27.4
26.02	34.51	24.39
19.64	23.79	14.35
21.63	18.15	22.62
20.09	27.57	20.63
15.53	21.47	19.94
52.76	26.88	29.08
18.76	13.37	15.48
19.9	20.2	26.04
17.99	16.12	23.1
24.44	17.51	19.62
14.51	19.85	21.99
18.83	19.66	15.03
21.02	28.76	22.97
19.29	24.68	15.05
32.06	21.22	29.48
25.2	14.41	13.3
15.67	12.32	23.47
26.61	26.56	26.15
32.18	28.44	27.96
18.55	14.25	16.52
23.69	5.94	16.57
25.74	18.13	33.24
23.12	28.99	22.24
18.29	32.27	21.43
20.9	21.54	34.71
27.96	19.1	18.97
37.85	17.86	12.57
13.64	29.85	17.36
31.32	18.84	19.86
29.83	22.58	24.54
22.83	20.54	5.16
18.57	23.3	28.4
19.04	5.25	25.63
15.72	15.61	28.23
22.39	15.89	11.72
22.09	16.48	22.3
16.56	10.26	24.05
21.61	16.87	12.02
29.48	13.1	22.66
31.23	14.35	25.65
16.97	6.98	25.09
28.64	9.34	20.07
15.01	17.12	21.71
21.85	35.18	24.31
20.31	26.23	31.75
16.94	11.18	21.71
26.4	21.79	25.68
19.34	18.09	7.51
37.85	22.55	26.84
17.03	22.42	20.43
27.68	29.14	15.12
33.35	23.86	21.43
16.66	19.91	29.22
27	12.12	13.28
15.69	19.68	29.48
23.29	24.96	18.33
24.76	22.2	25.2
19.95	27.31	20.03
17.06	25.7	15.24
16.81	25.79	23.28
25.16	20.68	16.02
24.41	24.06	27.42
16.19	19.07	22.54
17.08	21.04	15.71
17.03	17.04	22.03
16.92	29.22	22.21
27.22	17.91	34.08
26.7	23.56	19.61
23.39	17.98	20.45
20.26	24.22	22.86
17.36	33.27	15.36
29.88	19.41	19.36
20.66	13.48	28.41
29.23	25.15	21.58
27.08	22.63	21.45
21.47	22.23	21.55
29.14	23.33	25.26
15.72	28.42	7.73
18.51	22.46	26.9
30.28	26.92	27.77
20.03	16.68	22.35
19.57	18.02	25.17
13.81	17.32	17.21
18.4	28.03	20.02
30.11	27.76	31.4
20.36	20.75	20.46
15.41	26.38	12.62
17.33	22.15	31.51
36.39	8.76	21.45
16.48	16.38	26.19
22.42	33.7	17.25
30.57	26.05	19.28
29.77	19.05	24.85
27.68	21.21	18.4
20.31	20.94	25.73
13.93	24.63	26.32
20.04	21.12	20.83
19.39	17.57	19.9
19.28	16.83	27.07
18.78	19.98	18.99
32.34	28.69	20.56
27.86	26.31	17.49
22.26	27.37	20.13
35.66	37.99	31.12
20.2	23.11	22.19
17.84	12.93	23.52
13.7	29.64	17.7
22.28	26.93	8.31
26.18	21.96	21.87
26.36	15.22	21.38
25.54	22.15	15.93
15.99	18.83	20.42
19.51	11.6	33.76
25.15	21.36	26.27
23.47	19.03	12.01
30.65	28.8	21.15
15.98	32.12	28.67
23.69	34.5	20.12
24.31	21.9	26.13
18.77	23.06	11.52
22.38	15.44	29.77
13.6	24.25	25.24
17.31	20.15	24.97
31.39	13.18	21.96
14.78	24.16	17.68
22.49	18.66	17.25
21.44	22.11	15.41
18.07	27.37	24.47
19.71	19.78	20.23
22.52	13.38	25.96
16.04	24.52	23.35
26.93	13.63	21.23
24.39	17.38	17.84
25.74	24.52	14.81
21.23	16.13	19.79
30.1	22.91	27.42
21.44	23.57	19.23
25.13	25.25	21.98
14.07	27.87	24.62
21.12	26.92	30.93
32.87	22.99	11.67
25.51	27.35	22.52
19.1	26.55	13.71
25.59	19.87	21.7
26.15	21.53	18.15
15.09	33.56	20.44
17.91	23.52	22.17
16.01	19.44	25.99
19.94	25.01	18.79
24.42	16.03	25.66
25.97	26.79	17.63
16.92	20.64	13.79
30.2	14.74	22.05
42.77	27.72	20.82
13.37	28	23.85
15.15	17.04	17.85
22.89	23.51	21.9
23.78	18.49	31.81
18.12	29.11	28.06
16.28	35.76	20.51
16.85	11.68	22.81
20.95	17.34	22.92
29.27	19.64	26.43
16.71	27.64	13.18
20.35	27.63	25.63
18.11	16.12	24.72
25.91	35.3	27.3
27.65	24.49	22.94
18.82	26.73	21.14
33.14	14.34	16.28
17.17	11.83	24.87
20.52	31.99	13.68
20.68	17.28	20.38
22.13	21.86	21.9
14.53	15.81	18.12
19.87	31.45	18.5
18.03	23.56	31.67
18.2	12.1	27.23
24.58	23.66	13.1
24.9	16.1	19.51
21.08	15.03	18.3
30.27	20.03	32.66
18.04	17.56	10.69
15	27.34	29.89
19.1	26.85	23.33
36.93	21.9	13.92
29.25	20.96	26.85
23.18	18.41	19.45
20.54	26.19	19.59
14.09	20.5	26.15
24.82	14.19	20.73
22.98	21.37	10.68
18.26	26.49	17.21
21.5	23.52	22.66
30.14	23.33	14.62
18.56	7.32	21.28
23.33	23.6	29.37
17.81	21.07	23.84
17.13	22.81	28.31
34.69	17.14	18.91
33.64	24.1	22.69
26.29	29.3	11.13
16.53	21.23	24.55
27.73	19	25.24
17.49	15.04	27.87
18.45	10.69	16.02
30.44	18.82	23.99
26.75	14.43	27.05
18.47	17.82	25.47
26.07	8.32	21.81
35.23	21.48	9.5
33.97	14.87	22.36
17.07	23.41	16.76
18.75	17.06	20.98
29.8	30	17.57
24.56	12.22	29.23
18.34	18.16	30.16
27.01	18.86	18.5
16.52	17.47	21.83
19.02	8.66	21.63
24.16	20.73	24.11
15.83	23.75	23.9
15.11	13.25	24.02
25.47	34.94	31.64
23.43	33.96	23.63
16.46	32.02	23.66
24.59	17.78	21
22.16	23.62	17.73
15.04	23.87	24.64
18.59	22.93	23.61
21.4	16.99	31.87
23.46	23.71	22.6
20.59	15.81	23.77
26.12	23.69	14.35
21.45	18.9	14.82
21	19.72	22.04
20.31	19.52	20.01
17.36	18.51	22.02
33.58	17.83	27.85
16.35	26.51	6.29
17.37	16.95	28.58
16.19	18.15	19.76
25.03	22.03	27.81
15.3	19.34	16.55
16.51	24.65	20.31
18.43	23.15	23.11
22.56	24.18	8.06
16.6	16.91	29.09
19.2	16.87	31.9
16.46	14.39	31.45
18.14	18.79	20.29
14.97	23.56	29.41
21.91	31.38	33.07
15.85	27.97	15.95
23.96	30.95	10.63
27.28	27.7	22.98
20.35	23.71	23.32
21.44	20.28	23.96
20.82	25.31	18.97
34.33	21.98	21.32
24.08	28.94	24.96
18.61	22.7	14.27
24.78	19.51	22.46
23.02	24.92	16.74
16.19	16.97	25.83
15.66	32.77	21.23
18.96	15.97	20.6
13.57	22.8	28.03
20.47	15.64	22.19
18.42	23.73	19.57
34.5	20.09	25.29
19.08	26.32	14.11
18.14	16.17	28.3
31.15	17.02	23.23
28.52	28.17	5.53
20.51	14.92	24.96
31.03	20.65	19
20.46	20.86	32.31
25.88	20.96	16.17
21.68	28.78	14.99
23.01	11.68	21.74
20.64	15.86	22.59
21.01	20.37	23.13
20.51	18.45	30.23
24.13	17.14	22.18
19.18	20.08	23.54
22.75	16.76	32.06
47.05	17.81	17.59
17.51	23.5	18.11
22.62	28.32	22.34
14.3	21.32	34.77
15.64	15.71	27.26
24.37	24.27	27.45
24.9	23.32	9.45
18.66	27.06	15.72
18.51	12.85	19.46
19.59	28.52	25.99
18.46	23.17	18.17
14.95	20.41	23.55
24.23	33.08	16.33
16.27	18.08	21.85
27.57	21.17	18.87
16.13	18.61	23.77
19.12	21.58	12.15
18.14	27.41	5.63
18.05	18.98	18.18
28.75	28	23.84
23.52	16.14	16.05
24.86	18.64	25.38
19.5	26.87	21.19
14.78	21.8	16.56
15.73	25.8	17.92
24.11	19.13	20.14
23.95	27.53	17.11
13.91	30.72	20.57
14.21	30.5	19.09
21.27	16.48	14.27
22.01	18.84	22.98
19.16	24.07	25.84
22.93	19.17	23.29
15.42	28.65	17.49
22.97	27.82	29.52
19.56	29.27	27.81
16.34	15.33	18.63
42.32	22.21	27.56
16.1	19.94	36.23
27.58	27.63	16.8
21.04	20.16	15.64
15.88	25.35	13.72
15.7	18.61	15.07
33.07	19.86	32.94
13.95	27.12	-1.67
24.11	33.33	21.62
17.1	22.39	14.21
24.72	15.87	25.82
22.35	13.41	21.77
15.19	24.79	16.9
28.44	16.99	27.1
18.88	16.24	13.24
19.79	34.27	29.97
14.64	14.94	36.43
26.85	26.16	19.19
19.35	8.63	29.73
30.52	32.12	18.94
23.19	17.9	15.6
21.35	23.32	28.84
26.81	23.84	21.44
22.28	17.76	30.89
25.41	10.07	26.6
16.05	21.36	25.23
21.51	18.66	34.84
15.39	25.73	28.57
21.35	25.29	18.63
21.56	28.81	21.1
20.18	25.28	22.2
16.1	17.02	20.32
19.51	25.66	22.36
14.91	23.06	28.25
29.35	24.55	28.32
15.28	26.27	25.52
33.85	13.83	21.14
24.65	23.33	21.52
20.23	24.26	16.92
14.26	15.1	23.95
22.17	27.58	30.95
15.06	27.81	25.94
18.1	18.85	20.1
14.93	15.87	20.59
24.31	18.06	30.1
16.27	18.88	16.24
15.51	28.09	12.7
18.31	19.49	21.15
16.75	16.44	17.23
14.44	14.42	19.2
22.97	23.39	22.28
20.57	27.26	18.07
31.19	27.15	30.39
32.23	24.23	23.03
34.86	18.36	22.15
28.71	10.74	22.93
18.34	29.67	35.17
15.22	17.92	18.16
14.41	24.96	28.53
22.88	20.85	16.61
24.96	28.44	22.67
19.12	25.1	29.63
27.77	16.18	27.07
19.93	23.89	23.47
19.16	19.86	22.57
36.01	10.85	17.59
17.11	21.31	14.94
23.5	28.87	15.32
19.23	31.63	17.11
21.33	23.14	22.24
20.29	31.36	17.9
20.81	19.87	15.45
16.92	22.6	31.67
25.06	9.61	17.35
13.49	24.7	19.77
16.8	32	26.8
29.66	24.28	21.77
28.05	22.92	20.25
18.77	14.79	23.22
24.68	23.42	17.86
20.26	15.7	22.16
26.25	20.69	7.78
20.31	28.03	23.94
24.59	19.18	18.53
25.15	20.32	30.46
25.76	15	22.61
22.73	16.51	23.82
17.78	29.72	16.74
25.63	24.23	21.85
21.44	21.89	24.79
28.02	19.24	12.91
33.66	20.22	24.92
23.53	17.18	28.87
15.41	21.44	40.64
35.91	27.32	26.15
19.02	22.13	14.62
17.87	21.53	24.36
21.56	30.5	29.32
51.3	13.75	23.19
20.64	28.44	28.78
20.39	17.79	25.11
23.14	22.11	22.69
25.64	26.41	12.75
20.92	21	19.32
26.66	25.7	28.02
18.5	21.58	22.32
18.53	23.11	12.4
31.12	19.75	23.02
22.13	27.4	18.21
31.98	15.52	34.24
14.49	20.42	29.98
17.7	21.43	11.04
18.96	17.82	29.19
13.86	16.68	19.51
37.61	21.44	16.4
23.57	22.48	19.59
19.96	23.05	24.3
16.49	12.5	18.4
17.25	33.65	17.36
26.52	17.09	18.2
18.34	22.44	32.88
17.18	16.6	26.28
15.8	30.28	15.13
21.88	21.49	27.37
34.36	20.21	32.45
22.72	27.03	26.08
16.12	19.99	21.46
45.29	20.83	27.58
18.36	16.7	10.88
25.15	14.65	19.5
32.98	23.84	27.27
21.86	16.44	23.65
20.31	29.05	28.33
22.92	22.22	16.61
26.72	23.76	21.28
25.54	29.07	17.96
30.32	18.1	25.99
32.67	21.24	23.86
15.79	27.89	26.55
31.54	14	32.27
25.96	18.94	17.58
31.52	28.91	22.98
17.39	21.64	19.96
25.06	24.88	18.64
15.6	19.27	18.82
26.42	13.56	14.32
19.6	20.47	23.26
35.58	20.45	24.3
17.98	18.27	11.26
21.93	11.17	17.44
17.38	19.07	18.64
16.44	18.92	21.49
19.94	21.97	19.06
15.11	17.67	19.79
17.83	16.05	24.49
18.84	22.22	19.2
23.79	25.13	6.71
27.22	29.47	17.21
25.13	27.15	3.2
19.23	32.25	23.55
24.31	10.69	28.33
30.41	25.96	19.59
22.05	16.5	23.17
24.57	30.61	30.42
19.98	24.81	23.84
36.75	25.7	9.52
19.22	30.59	29.63
21.84	23.95	20.58
13.14	28.95	26.15
15.75	19.78	16.04
34.03	14.48	33.56
19.86	19.25	18.45
20.25	18.13	9.88
16.07	11.83	23.3
18.24	22.74	17.2
21.24	15.42	30.58
14.22	20.29	15.78
27.72	29.16	18.72
17.58	24.62	22.12
18.41	23.53	15.06
23.43	26.89	19.68
24.89	23.16	26.81
24.1	23.85	16.55
16.73	25.79	16.24
22.27	21.03	20.38
28.27	15.27	11.96
16.61	18.47	15.03
21.2	21.64	23.01
20.93	27.51	23.72
18.95	33.54	11.26
24.35	23.21	27.42
15.75	18.54	4.58
30.05	16.83	25.03
26.3	22.56	23.61
34.59	19.22	23.98
19.14	19.99	20.36
33.44	18.73	32.14
16.77	25.66	20.6
19.07	30.71	19.8
28.22	27.44	26.43
31.61	23.6	18.86
15.09	18.68	18.26
20.3	22.94	23.06
14.85	12.74	22.7
25.72	18.35	30.01
24.93	18.67	16.81
19.64	18.04	22.14
23.39	23.29	11.96
14.59	25.26	26.09
26.84	25.4	20.74
24.25	17.98	15.72
24.39	19.53	27.68
33.74	25.16	26.77
20.43	20.8	22.55
16.94	9.37	14.92
14.22	37.69	17.38
19.23	21.26	16.02
24.92	19.84	20.76
37.21	27.04	22.39
16.08	25.3	17
19.89	30.11	20.6
19.3	27.14	23.36
19.86	20.32	14.44
26.14	26.88	21.73
15.38	23.86	16.91
18.43	16.45	18.47
21.51	9.51	24.65
20.35	15.2	16.99
16.82	29.14	17.21
15.85	20.37	24.83
22.76	22.7	18.94
32.89	20.56	15.19
19.47	8.48	21.56
19.46	7.11	32.56
21.11	29.22	21.61
26.23	15.05	12.82
19.38	15.96	21.35
17.31	27.08	15.33
25.65	27.94	25.64
19.19	16.26	12.77
14.49	17.63	16.53
24.9	20.55	19.62
18.47	12.64	31.48
19.29	32.59	19.1
22.85	16.28	12.95
16.68	20.46	14.84
22.96	20.17	25.03
17.76	35.1	17.53
18.9	27.2	16.91
17.94	26.29	32.6
24.66	29.68	24.67
22.42	21.67	33.91
26.76	13.68	25.12
20.32	23.55	19.42
22.3	28.36	19.13
15.11	25.19	23.5
21.27	27.31	26.43
35.6	30.93	21.71
18.76	17.11	22.35
19.68	22.48	23.61
18.35	21.29	37.83
21.18	19.78	16.22
26.96	15.26	23.16
19.17	13	23.14
36.04	18.18	23.83
25.08	16.75	27.44
20.59	23.99	21.18
20.95	14.51	20.18
15.26	16.2	20.15
20.23	17.55	28.75
17.63	26.01	23.99
21.19	18.66	16.21
17.6	26.24	18.12
26.52	-2.22	21.43
21.02	15.73	19.03
23.97	15.26	14.54
26.89	18.16	23.04
19.37	19.39	11.46
23.28	23.9	22.54
17.26	27.11	16.55
15.72	29.51	27.4
15.79	12.57	27.75
15.7	23.34	27.56
15.87	10.85	17.21
26.12	16.86	27.74
21.67	22.84	21.75
19.16	21.52	19.74
20.35	12.22	23.72
23.74	17.43	16.05
19.77	15.21	11.92
25.04	26.11	20.96
17.22	23.56	23.38
22.46	20.52	21.18
21.74	16.83	32.86
14.88	24.26	15.12
24.98	16.73	22.47
17.89	24.06	27.15
26.67	27.69	22.67
18.16	16.94	29.72
14.73	26.79	18.67
14.99	18.2	25.48
25.43	23.16	25.38
21.46	10.34	26.52
45.46	20.69	15.23
18.01	19.57	21.63
19.68	31.17	31.3
20.24	30.92	20.22
14.28	13	13.7
15.13	22.6	22.79
24.3	20.36	11.9
17.63	20.1	23.71
23.11	21.28	23.03
38.45	14.07	34.57
15.5	19.51	22.81
20.58	14.97	18.43
18.84	33.88	15.29
19.2	14.1	15.63
24.15	29.87	18.88
18.51	13.81	19.07
19.01	13.6	26.16
16.12	27.4	27.01
19.88	27.86	22.86
24.26	19.33	11.57
21.54	15.35	21.33
17.82	26.43	29.93
15	23.71	17.43
16.57	30.86	17.89
17.17	20.84	12.62
17.2	26.82	21.61
17.8	14.86	9.93
18.64	25.6	18.66
18.77	18.19	30.67
17.44	29.59	15.91
26.3	24.98	31.75
32.21	22.99	25.19
26.41	25.47	19.4
18.54	22.61	24.88
29.47	25.49	23.77
22.61	20.2	17.83
15.28	20.87	24.26
23.58	20.59	28.6
18.37	21.24	27.12
15.22	12.36	27.77
16.67	17.89	17.88
21.77	16.66	24.45
22.75	18.15	10.27
20.29	29.94	24.67
16.66	17.26	24.02
22.93	19.07	21.2
22.33	31.09	13.06
21.49	28.78	18.21
32.53	24.42	24.42
20.82	21.35	35.72
15.83	27.54	32.42
17.11	24.87	22.52
19.68	26.72	13.68
17.48	16.62	17.13
26.06	30.09	23.57
13.66	21.43	14.03
41.66	11.69	24.25
16.6	21.39	20.95
21.2	24.7	23.9
19.9	39.07	22.06
15.33	24.2	23.48
15.27	25.03	17.45
25.8	31.7	19.95
26.61	19.25	24.97
33.75	14.95	22.94
22.24	20.68	14.91
16.38	24.48	22.36
23.8	25.76	23.18
19.88	12.01	29.42
20.97	28.05	17.36
21.95	15.08	14.54
22.56	19.81	22.42
17.78	8.7	22.42
25	21.64	17.76
21.51	27.68	11.78
26.02	19.59	23.85
22.48	20.29	18.03
17.66	20.08	33.34
27.14	24.74	28.09
27.58	19.63	24.2
18.28	18.71	20.47
14.25	20.5	20.41
25.72	32.08	25.05
17.87	18.83	7.76
21.56	25.27	13.68
17.18	23.39	26.39
30.33	23.72	23.92
25.37	9.96	22.73
13.59	26.23	21.98
26.93	26.9	26.07
16.91	28.08	12.51
22.77	17.07	21.75
30.18	23.36	18.39
30.62	21.96	15.4
21.47	20.57	22.7
19.66	16.71	20.6
17.88	23.72	23.63
29.28	12.13	25.06
23.26	21.46	17.77
34.52	29.81	20.19
27.47	13.19	26.35
29.84	25.07	7.58
15.5	15.3	23.74
21.28	24.13	22.78
17.03	26.1	21.38
13.98	21.41	18.51
24.34	20.2	21.08
17.49	12.93	21.66
14.8	27.16	17.87
23.2	28	18.21
20.74	26.25	30.99
26.73	22.19	20.34
16.7	16.76	18.29
18.16	30.39	22.88
21.04	27.2	37.57
15.4	21.61	17.1
17.56	23.62	22.08
22.91	23.39	20.72
30.96	15.72	16.86
26.42	25.45	23.28
20.86	18.28	29.97
13.22	21.35	21.88
14.17	27.68	16.67
