pesticide yield field
25.6 78.1 26
25.73 77.6 26
25.75 78.7 26
25.83 79.4 26
25.9 77.3 26
26.27 77.2 26
26.67 74.6 26
26.77 73.8 26
26.99 74.9 26
26.19 82 27
26.5 81.6 27
26.64 79.7 27
26.8 80.7 27
27.23 77.2 27
27.39 80.1 27
27.68 76.3 27
27.81 76.6 27
27.82 76 27
27.98 75 27
27.02 85.4 28
27.27 83.4 28
27.42 81.6 28
28.35 78.1 28
28.45 80.2 28
28.59 79.9 28
28.8 79.3 28
28.83 78.5 28
28.86 77.2 28
28.88 76.3 28
28.05 85.8 29
28.07 86.6 29
28.44 87 29
28.68 84 29
28.75 85.5 29
28.82 83.7 29
28.94 83.3 29
29.04 83.5 29
29.44 80.7 29
29.85 81.3 29
29 88.4 30
29.12 87.5 30
29.94 84.1 30
30.03 85.9 30
30.08 84.8 30
30.22 85.6 30
30.48 83.7 30
30.66 83.7 30
30.76 82.9 30
30.93 83.4 30
